CONCEPTO,VALOR,PLANTA_O_BU,DEPARTAMENTO,CATEGORIA_GASTO,SUBCATEGORIA_GASTO,TIPO_ASIGNACION,IS_CASH,NOTAS
PAGO DE VERIFICACION VEHICULAR TIGUAN P1,800,P001,ADMINISTRACION,8,Verificaciones Vehiculares,DIRECTO,true,
CAMBIO DE ACEITE A Y MANTO GENERAL P1,4000,P001,MANTENIMIENTO,8,Reparaciones y Mantenimiento,DIRECTO,true,
REP VIATICOS ALBERTO PADILLA P1,1183.43,P001,ADMINISTRACION,9,Viáticos,DIRECTO,true,
REP GASTOS EVELIN RH TJ,4962,P002,RECURSOS HUMANOS,14,Otros Gastos Varios,DIRECTO,true,
TRAMITE DE CFE SAN LUIS P4,15000,P004P,ADMINISTRACION,5,Servicios Legales y Trámites,DIRECTO,true,
VIATICOS Y TALACHAS SAN LUIS  ABELARDO P4,1500,P004P,ADMINISTRACION,9,Viáticos,DIRECTO,true,
RENTA DE TERRENO P4,22000,P004P,PRODUCCION,4,Renta de Terrenos,DIRECTO,true,
CASETAS OMAR SAUCEDO P5,500,P005,PRODUCCION,2,Casetas Viales,DIRECTO,true,
HONORARIOS ASUNTOS CODUCEF LIC ANTONIO Y LIC ARANDA,15000,gen,ADMINISTRACION,5,Honorarios y Asesorías,DISTRIBUIR_VOLUMEN,true,
REP DE CJA DE P5,4617,P005,ADMINISTRACION,14,Otros Gastos Varios,DIRECTO,true,
RENTA DE CUARTO EN VILLA DE REYES HECTOR Y SALVADOR GRAJEDA,650,P005,ADMINISTRACION,4,Renta de Inmuebles,DIRECTO,true,
TORTAS AUTORIZADAS PARA P1,245,P001,PRODUCCION,9,"Atención al Personal (Comidas, Almuerzo)",DIRECTO,true,
PAGO RENOVACION DE CERTIFICADO IDSE DE SLP,3800,4p_y_5,ADMINISTRACION,14,Otros Gastos Varios,DISTRIBUIR_4P_5,true,
APOYOS SLP 14 Y 15 ABRIL 2026 SAFE,3200,4p_y_5,ADMINISTRACION,14,Otros Gastos Varios,DISTRIBUIR_4P_5,true,
VIATICOS TRAYECTO TIJUANA SILAO,12700,P002,ADMINISTRACION,9,Viáticos,DIRECTO,true,
GASOLINA DE SALVADOR GRAJEDA P1,1112,P001,MANTENIMIENTO,2,Combustible y Gasolina,DIRECTO,true,
VIAJES DE AGUA DE P4,4200,P004P,PRODUCCION,3,Agua,DIRECTO,true,
RENTA DE TERRENO P5 VILLA DE REYES,30000,P005,PRODUCCION,4,Renta de Terrenos,DIRECTO,true,
VIATICOS DE ALEX DIAZ Y ENRIQUE FELIX A CIUDAD DE MEXICO P2,3000,P002,ADMINISTRACION,9,Viáticos,DIRECTO,true,
PLACAS CAMIONETA L200 ENRIQUE FELIX,5000,gen,ADMINISTRACION,8,Verificaciones Vehiculares,DISTRIBUIR_VOLUMEN,true,
APOYO DE VIATICOS A SLP MIGUEL RMZ Y ALEJANDRO JUAREZ P5,800,P005,PRODUCCION,9,Viáticos,DIRECTO,true,
